episode: 0/1000, score: 43.8227 e: 1.0
episode: 1/1000, score: 112.9324 e: 0.94
episode: 2/1000, score: 168.0484 e: 0.88
episode: 3/1000, score: 199.0434 e: 0.83
episode: 4/1000, score: 202.235 e: 0.77
episode: 5/1000, score: 201.9895 e: 0.73
episode: 6/1000, score: 173.5722 e: 0.68
episode: 7/1000, score: 170.0124 e: 0.64
episode: 8/1000, score: 191.4327 e: 0.6
episode: 9/1000, score: 206.4699 e: 0.56
episode: 10/1000, score: 207.2064 e: 0.53
episode: 11/1000, score: 219.85 e: 0.49
episode: 12/1000, score: 186.2771 e: 0.46
episode: 13/1000, score: 174.4315 e: 0.43
episode: 14/1000, score: 243.8481 e: 0.41
episode: 15/1000, score: 199.5344 e: 0.38
episode: 16/1000, score: 146.1984 e: 0.36
episode: 17/1000, score: 128.2151 e: 0.34
episode: 18/1000, score: 87.6454 e: 0.32
episode: 19/1000, score: 0.0 e: 0.3
episode: 20/1000, score: 0.0 e: 0.28
episode: 21/1000, score: 36.4575 e: 0.26
episode: 22/1000, score: 123.796 e: 0.24
episode: 23/1000, score: 139.9994 e: 0.23
episode: 24/1000, score: 184.3131 e: 0.21
episode: 25/1000, score: 201.0688 e: 0.2
episode: 26/1000, score: 234.0279 e: 0.19
episode: 27/1000, score: 163.8748 e: 0.18
episode: 28/1000, score: 163.5679 e: 0.17
episode: 29/1000, score: 134.2914 e: 0.16
episode: 30/1000, score: 192.0465 e: 0.15
episode: 31/1000, score: 232.6776 e: 0.14
episode: 32/1000, score: 268.3986 e: 0.13
episode: 33/1000, score: 322.4712 e: 0.12
episode: 34/1000, score: 324.4352 e: 0.11
episode: 35/1000, score: 266.1891 e: 0.11
episode: 36/1000, score: 208.2498 e: 0.1
episode: 37/1000, score: 172.8357 e: 0.093
episode: 38/1000, score: 121.1569 e: 0.088
episode: 39/1000, score: 122.3844 e: 0.082
episode: 40/1000, score: 147.3032 e: 0.077
episode: 41/1000, score: 110.9684 e: 0.072
episode: 42/1000, score: 109.3112 e: 0.068
episode: 43/1000, score: 106.8561 e: 0.064
episode: 44/1000, score: 106.7334 e: 0.06
episode: 45/1000, score: 65.5499 e: 0.056
episode: 46/1000, score: 49.7762 e: 0.052
episode: 47/1000, score: 33.9411 e: 0.049
episode: 48/1000, score: 18.106 e: 0.046
episode: 49/1000, score: 0.0 e: 0.043
episode: 50/1000, score: 0.0 e: 0.041
episode: 51/1000, score: 0.0 e: 0.038
episode: 52/1000, score: 0.0 e: 0.036
episode: 53/1000, score: 0.0 e: 0.034
episode: 54/1000, score: 0.0 e: 0.031
episode: 55/1000, score: 0.0 e: 0.029
episode: 56/1000, score: 0.0 e: 0.028
episode: 57/1000, score: 0.0 e: 0.026
episode: 58/1000, score: 0.0 e: 0.024
episode: 59/1000, score: 19.088 e: 0.023
episode: 60/1000, score: 34.4935 e: 0.021
episode: 61/1000, score: 104.0329 e: 0.02
episode: 62/1000, score: 115.2647 e: 0.019
episode: 63/1000, score: 165.9002 e: 0.018
episode: 64/1000, score: 163.0769 e: 0.017
